state,date,sex,ethnicity,abs,Year,Malaysia_total_population,lat,lon,birth_rate
Johor,2000-01-01,both,overall,67183.0,2000,22967760,1.9344,103.3587,2.9251002274492595
Kedah,2000-01-01,both,overall,41014.0,2000,22967760,6.0499,100.5296,1.7857205056130854
Kelantan,2000-01-01,both,overall,40404.0,2000,22967760,5.1151,101.8892,1.7591615377381165
Melaka,2000-01-01,both,overall,15304.0,2000,22967760,2.3263,102.3464,0.6663253186205359
Negeri Sembilan,2000-01-01,both,overall,19243.0,2000,22967760,2.8707,102.2548,0.837826588226279
Pahang,2000-01-01,both,overall,29555.0,2000,22967760,3.9743,102.4381,1.2868037631880511
Perak,2000-01-01,both,overall,48589.0,2000,22967760,4.8073,100.8,2.1155306394702835
Perlis,2000-01-01,both,overall,4651.0,2000,22967760,6.517,100.2152,0.2025012452237397
Pulau Pinang,2000-01-01,both,overall,27337.0,2000,22967760,5.2632,100.4846,1.190233614423
Sabah,2000-01-01,both,overall,49308.0,2000,22967760,5.4204,116.7968,2.146835390129469
Sarawak,2000-01-01,both,overall,47920.0,2000,22967760,2.5574,113.0012,2.0864028533910144
Selangor,2000-01-01,both,overall,91635.0,2000,22967760,3.5092,101.5248,3.9897229856111354
Terengganu,2000-01-01,both,overall,24833.0,2000,22967760,5.0936,102.9896,1.0812112282608315
Kuala Lumpur,2000-01-01,both,overall,29382.0,2000,22967760,3.1319,101.6841,1.2792714657415438
Labuan,2000-01-01,both,overall,1495.0,2000,22967760,5.2831,115.2308,0.0650912409394734
Johor,2010-01-01,both,overall,56064.0,2010,28655721,1.9344,103.3587,1.9564679597487704
Kedah,2010-01-01,both,overall,35128.0,2010,28655721,6.0499,100.5296,1.225863414848295
Kelantan,2010-01-01,both,overall,36009.0,2010,28655721,5.1151,101.8892,1.256607711946944
Melaka,2010-01-01,both,overall,13010.0,2010,28655721,2.3263,102.3464,0.4540105621491778
Negeri Sembilan,2010-01-01,both,overall,16939.0,2010,28655721,2.8707,102.2548,0.5911210539773193
Pahang,2010-01-01,both,overall,25946.0,2010,28655721,3.9743,102.4381,0.9054387429302512
Perak,2010-01-01,both,overall,36026.0,2010,28655721,4.8073,100.8,1.2572009617206978
Perlis,2010-01-01,both,overall,4114.0,2010,28655721,6.517,100.2152,0.1435664452484025
Pulau Pinang,2010-01-01,both,overall,21172.0,2010,28655721,5.2632,100.4846,0.7388402476419978
Sabah,2010-01-01,both,overall,54134.0,2010,28655721,5.4204,116.7968,1.8891166619049649
Sarawak,2010-01-01,both,overall,41474.0,2010,28655721,2.5574,113.0012,1.4473200656860108
Selangor,2010-01-01,both,overall,98429.0,2010,28655721,3.5092,101.5248,3.43488129298858
Terengganu,2010-01-01,both,overall,24262.0,2010,28655721,5.0936,102.9896,0.8466721182831171
Kuala Lumpur,2010-01-01,both,overall,24471.0,2010,28655721,3.1319,101.6841,0.8539656007957365
Labuan,2010-01-01,both,overall,1631.0,2010,28655721,5.2831,115.2308,0.0569170812348431
Putrajaya,2010-01-01,both,overall,2430.0,2010,28655721,2.9256,101.6954,0.0847998206012684
Johor,2020-01-01,both,overall,56908.0,2020,33889515,1.9344,103.3587,1.6792214347121817
Kedah,2020-01-01,both,overall,33828.0,2020,33889515,6.0499,100.5296,0.9981848368145724
Kelantan,2020-01-01,both,overall,36275.0,2020,33889515,5.1151,101.8892,1.0703900601705276
Melaka,2020-01-01,both,overall,13855.0,2020,33889515,2.3263,102.3464,0.4088285122994531
Negeri Sembilan,2020-01-01,both,overall,17120.0,2020,33889515,2.8707,102.2548,0.5051709946276894
Pahang,2020-01-01,both,overall,25344.0,2020,33889515,3.9743,102.4381,0.7478419210189345
Perak,2020-01-01,both,overall,31582.0,2020,33889515,4.8073,100.8,0.9319106514212434
Perlis,2020-01-01,both,overall,4101.0,2020,33889515,6.517,100.2152,0.1210108790285136
Pulau Pinang,2020-01-01,both,overall,19645.0,2020,33889515,5.2632,100.4846,0.5796778148049626
Sabah,2020-01-01,both,overall,49587.0,2020,33889515,5.4204,116.7968,1.4631959176754226
Sarawak,2020-01-01,both,overall,35449.0,2020,33889515,2.5574,113.0012,1.0460167399858038
Selangor,2020-01-01,both,overall,93577.0,2020,33889515,3.5092,101.5248,2.7612375095955195
Terengganu,2020-01-01,both,overall,27177.0,2020,33889515,5.0936,102.9896,0.8019294463199016
Kuala Lumpur,2020-01-01,both,overall,23199.0,2020,33889515,3.1319,101.6841,0.6845480084326967
Labuan,2020-01-01,both,overall,1714.0,2020,33889515,5.2831,115.2308,0.0505761147658796
Putrajaya,2020-01-01,both,overall,2143.0,2020,33889515,2.9256,101.6954,0.0632348972831272
