state,total_births,total_population,avg_birth_rate_per_1000
Johor,1396973.0,703553713,1.985595376994336
Kedah,849737.0,703553713,1.2077784315523896
Kelantan,877650.0,703553713,1.2474527300234717
Kuala Lumpur,595548.0,703553713,0.8464854765111587
Labuan,39087.0,703553713,0.05555652578867138
Melaka,332811.0,703553713,0.4730427739210865
Negeri Sembilan,419616.0,703553713,0.5964235455609059
Pahang,633056.0,703553713,0.899797681829589
Perak,878108.0,703553713,1.2481037108818442
Perlis,99782.0,703553713,0.1418257030789062
Pulau Pinang,529567.0,703553713,0.7527030135935051
Putrajaya,35044.0,448073808,0.07821032913398945
Sabah,1206397.0,703553713,1.7147191148431904
Sarawak,972187.0,703553713,1.3818234230539836
Selangor,2337586.0,703553713,3.3225409187770145
Terengganu,600921.0,703553713,0.8541224200745565
