state,date,sex,ethnicity,abs,Year,Malaysia_total_population,lat,lon,birth_rate
Johor,2000-01-01,both,overall,67183.0,2000,22967760,1.9344,103.3587,2.9251002274492595
Johor,2001-01-01,both,overall,61432.0,2001,23526494,1.9344,103.3587,2.6111837998471
Johor,2002-01-01,both,overall,59699.0,2002,24102434,1.9344,103.3587,2.476886774173928
Johor,2003-01-01,both,overall,58230.0,2003,24679556,1.9344,103.3587,2.3594427711746517
Johor,2004-01-01,both,overall,57339.0,2004,25256718,1.9344,103.3587,2.270247464456783
Johor,2005-01-01,both,overall,56524.0,2005,25836027,1.9344,103.3587,2.187797682670017
Johor,2006-01-01,both,overall,56737.0,2006,26417859,1.9344,103.3587,2.1476759339203073
Johor,2007-01-01,both,overall,57780.0,2007,26998333,1.9344,103.3587,2.140132133343196
Johor,2008-01-01,both,overall,57838.0,2008,27569998,1.9344,103.3587,2.097860144930007
Johor,2009-01-01,both,overall,57849.0,2009,28124726,1.9344,103.3587,2.0568733718508048
Johor,2010-01-01,both,overall,56064.0,2010,28655721,1.9344,103.3587,1.9564679597487704
Johor,2011-01-01,both,overall,58167.0,2011,29161977,1.9344,103.3587,1.994617854612532
Johor,2012-01-01,both,overall,60444.0,2012,29662784,1.9344,103.3587,2.0377048897365806
Johor,2013-01-01,both,overall,57402.0,2013,30174221,1.9344,103.3587,1.9023523424183841
Johor,2014-01-01,both,overall,60443.0,2014,30696080,1.9344,103.3587,1.969078787910378
Johor,2015-01-01,both,overall,60543.0,2015,31232744,1.9344,103.3587,1.9384463945915225
Johor,2016-01-01,both,overall,59561.0,2016,31789641,1.9344,103.3587,1.8735977546899634
Johor,2017-01-01,both,overall,61085.0,2017,32355608,1.9344,103.3587,1.887926198141602
Johor,2018-01-01,both,overall,61084.0,2018,32910918,1.9344,103.3587,1.8560406002652372
Johor,2019-01-01,both,overall,60261.0,2019,33440538,1.9344,103.3587,1.802034405068483
Johor,2020-01-01,both,overall,56908.0,2020,33889515,1.9344,103.3587,1.6792214347121817
Johor,2021-01-01,both,overall,49990.0,2021,34282367,1.9344,103.3587,1.4581840279581628
Johor,2022-01-01,both,overall,48254.0,2022,34695445,1.9344,103.3587,1.390787753262712
Johor,2023-01-01,both,overall,56156.0,2023,35126249,1.9344,103.3587,1.5986904835754026
Kedah,2000-01-01,both,overall,41014.0,2000,22967760,6.0499,100.5296,1.7857205056130854
Kedah,2001-01-01,both,overall,38073.0,2001,23526494,6.0499,100.5296,1.618303177685549
Kedah,2002-01-01,both,overall,36604.0,2002,24102434,6.0499,100.5296,1.518684793411321
Kedah,2003-01-01,both,overall,35407.0,2003,24679556,6.0499,100.5296,1.4346692460755777
Kedah,2004-01-01,both,overall,35059.0,2004,25256718,6.0499,100.5296,1.3881059288859305
Kedah,2005-01-01,both,overall,34254.0,2005,25836027,6.0499,100.5296,1.3258230454705748
Kedah,2006-01-01,both,overall,33864.0,2006,26417859,6.0499,100.5296,1.2818601234869185
Kedah,2007-01-01,both,overall,33963.0,2007,26998333,6.0499,100.5296,1.257966556675925
Kedah,2008-01-01,both,overall,35415.0,2008,27569998,6.0499,100.5296,1.2845485153825547
Kedah,2009-01-01,both,overall,36019.0,2009,28124726,6.0499,100.5296,1.2806880323029635
Kedah,2010-01-01,both,overall,35128.0,2010,28655721,6.0499,100.5296,1.225863414848295
Kedah,2011-01-01,both,overall,35937.0,2011,29161977,6.0499,100.5296,1.23232385787836
Kedah,2012-01-01,both,overall,36390.0,2012,29662784,6.0499,100.5296,1.2267897713174865
Kedah,2013-01-01,both,overall,35032.0,2013,30174221,6.0499,100.5296,1.1609910327096762
Kedah,2014-01-01,both,overall,36505.0,2014,30696080,6.0499,100.5296,1.1892397986974232
Kedah,2015-01-01,both,overall,36784.0,2015,31232744,6.0499,100.5296,1.1777383376881647
Kedah,2016-01-01,both,overall,35967.0,2016,31789641,6.0499,100.5296,1.131406296787057
Kedah,2017-01-01,both,overall,36693.0,2017,32355608,6.0499,100.5296,1.1340537937040158
Kedah,2018-01-01,both,overall,35643.0,2018,32910918,6.0499,100.5296,1.0830144573907055
Kedah,2019-01-01,both,overall,34511.0,2019,33440538,6.0499,100.5296,1.0320109084369398
Kedah,2020-01-01,both,overall,33828.0,2020,33889515,6.0499,100.5296,0.9981848368145724
Kedah,2021-01-01,both,overall,33040.0,2021,34282367,6.0499,100.5296,0.9637607578263193
Kedah,2022-01-01,both,overall,30796.0,2022,34695445,6.0499,100.5296,0.8876093100981988
Kedah,2023-01-01,both,overall,33811.0,2023,35126249,6.0499,100.5296,0.9625565200542763
Kelantan,2000-01-01,both,overall,40404.0,2000,22967760,5.1151,101.8892,1.7591615377381165
Kelantan,2001-01-01,both,overall,38186.0,2001,23526494,5.1151,101.8892,1.6231062732934198
Kelantan,2002-01-01,both,overall,37297.0,2002,24102434,5.1151,101.8892,1.547437076272048
Kelantan,2003-01-01,both,overall,35686.0,2003,24679556,5.1151,101.8892,1.4459741496159817
Kelantan,2004-01-01,both,overall,35113.0,2004,25256718,5.1151,101.8892,1.39024397390033
Kelantan,2005-01-01,both,overall,34088.0,2005,25836027,5.1151,101.8892,1.3193979089741623
Kelantan,2006-01-01,both,overall,33659.0,2006,26417859,5.1151,101.8892,1.274100221369188
Kelantan,2007-01-01,both,overall,33800.0,2007,26998333,5.1151,101.8892,1.2519291468847353
Kelantan,2008-01-01,both,overall,34842.0,2008,27569998,5.1151,101.8892,1.2637650535919516
Kelantan,2009-01-01,both,overall,35715.0,2009,28124726,5.1151,101.8892,1.2698790381104512
Kelantan,2010-01-01,both,overall,36009.0,2010,28655721,5.1151,101.8892,1.256607711946944
Kelantan,2011-01-01,both,overall,37679.0,2011,29161977,5.1151,101.8892,1.2920591769206868
Kelantan,2012-01-01,both,overall,37025.0,2012,29662784,5.1151,101.8892,1.2481970674094514
Kelantan,2013-01-01,both,overall,36413.0,2013,30174221,5.1151,101.8892,1.2067585771311213
Kelantan,2014-01-01,both,overall,39279.0,2014,30696080,5.1151,101.8892,1.2796096439675684
Kelantan,2015-01-01,both,overall,39108.0,2015,31232744,5.1151,101.8892,1.2521474257913425
Kelantan,2016-01-01,both,overall,38455.0,2016,31789641,5.1151,101.8892,1.2096707855241273
Kelantan,2017-01-01,both,overall,39122.0,2017,32355608,5.1151,101.8892,1.209125787406004
Kelantan,2018-01-01,both,overall,38360.0,2018,32910918,5.1151,101.8892,1.1655706474064322
Kelantan,2019-01-01,both,overall,36858.0,2019,33440538,5.1151,101.8892,1.1021951859745798
Kelantan,2020-01-01,both,overall,36275.0,2020,33889515,5.1151,101.8892,1.0703900601705276
Kelantan,2021-01-01,both,overall,34764.0,2021,34282367,5.1151,101.8892,1.0140490007589034
Kelantan,2022-01-01,both,overall,33808.0,2022,34695445,5.1151,101.8892,0.9744218585465614
Kelantan,2023-01-01,both,overall,35705.0,2023,35126249,5.1151,101.8892,1.0164763109206452
Melaka,2000-01-01,both,overall,15304.0,2000,22967760,2.3263,102.3464,0.6663253186205359
Melaka,2001-01-01,both,overall,14317.0,2001,23526494,2.3263,102.3464,0.6085479629901506
Melaka,2002-01-01,both,overall,13810.0,2002,24102434,2.3263,102.3464,0.5729711779316562
Melaka,2003-01-01,both,overall,13898.0,2003,24679556,2.3263,102.3464,0.5631381699087293
Melaka,2004-01-01,both,overall,13548.0,2004,25256718,2.3263,102.3464,0.5364117380571776
Melaka,2005-01-01,both,overall,13341.0,2005,25836027,2.3263,102.3464,0.5163719638472278
Melaka,2006-01-01,both,overall,12946.0,2006,26417859,2.3263,102.3464,0.4900472820299329
Melaka,2007-01-01,both,overall,13444.0,2007,26998333,2.3263,102.3464,0.49795667013959716
Melaka,2008-01-01,both,overall,13619.0,2008,27569998,2.3263,102.3464,0.49397899847508153
Melaka,2009-01-01,both,overall,13456.0,2009,28124726,2.3263,102.3464,0.47844021662646596
Melaka,2010-01-01,both,overall,13010.0,2010,28655721,2.3263,102.3464,0.45401056214917784
Melaka,2011-01-01,both,overall,13976.0,2011,29161977,2.3263,102.3464,0.47925420145554604
Melaka,2012-01-01,both,overall,14278.0,2012,29662784,2.3263,102.3464,0.48134389543476436
Melaka,2013-01-01,both,overall,13692.0,2013,30174221,2.3263,102.3464,0.4537648213022633
Melaka,2014-01-01,both,overall,14568.0,2014,30696080,2.3263,102.3464,0.4745882861915919
Melaka,2015-01-01,both,overall,14554.0,2015,31232744,2.3263,102.3464,0.4659853133621561
Melaka,2016-01-01,both,overall,14402.0,2016,31789641,2.3263,102.3464,0.45304066189360237
Melaka,2017-01-01,both,overall,14389.0,2017,32355608,2.3263,102.3464,0.4447142516994272
Melaka,2018-01-01,both,overall,14388.0,2018,32910918,2.3263,102.3464,0.43718014793753246
Melaka,2019-01-01,both,overall,14136.0,2019,33440538,2.3263,102.3464,0.42272047178188343
Melaka,2020-01-01,both,overall,13855.0,2020,33889515,2.3263,102.3464,0.4088285122994531
Melaka,2021-01-01,both,overall,13192.0,2021,34282367,2.3263,102.3464,0.3848042347834384
Melaka,2022-01-01,both,overall,13105.0,2022,34695445,2.3263,102.3464,0.37771528798665066
