state,date,sex,ethnicity,abs,Year,Malaysia_total_population,lat,lon,birth_rate
Johor,2000-01-01,both,overall,67183.0,2000,22967760,1.9344,103.3587,2.9251002274492595
Kedah,2000-01-01,both,overall,41014.0,2000,22967760,6.0499,100.5296,1.7857205056130854
Kelantan,2000-01-01,both,overall,40404.0,2000,22967760,5.1151,101.8892,1.7591615377381165
Melaka,2000-01-01,both,overall,15304.0,2000,22967760,2.3263,102.3464,0.6663253186205359
Negeri Sembilan,2000-01-01,both,overall,19243.0,2000,22967760,2.8707,102.2548,0.837826588226279
Pahang,2000-01-01,both,overall,29555.0,2000,22967760,3.9743,102.4381,1.2868037631880513
Perak,2000-01-01,both,overall,48589.0,2000,22967760,4.8073,100.8,2.1155306394702835
Perlis,2000-01-01,both,overall,4651.0,2000,22967760,6.517,100.2152,0.2025012452237397
Pulau Pinang,2000-01-01,both,overall,27337.0,2000,22967760,5.2632,100.4846,1.190233614423
Sabah,2000-01-01,both,overall,49308.0,2000,22967760,5.4204,116.7968,2.1468353901294686
Sarawak,2000-01-01,both,overall,47920.0,2000,22967760,2.5574,113.0012,2.0864028533910144
Selangor,2000-01-01,both,overall,91635.0,2000,22967760,3.5092,101.5248,3.9897229856111345
Terengganu,2000-01-01,both,overall,24833.0,2000,22967760,5.0936,102.9896,1.0812112282608317
Kuala Lumpur,2000-01-01,both,overall,29382.0,2000,22967760,3.1319,101.6841,1.2792714657415438
Labuan,2000-01-01,both,overall,1495.0,2000,22967760,5.2831,115.2308,0.06509124093947341
